year,id,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2008,44,1.89529956641703,1.89529956641703,1.3412002364998,Inf,Inf,3.6161466072313,0.282957687040849,0.631137621023513,59.844262295082,Inf,1.70819143681597,0.522607253192105,0.255429241047649,0.253648663044636,0.160087213769786,0.0717718390161139,0.165647526935432,0,0.707645514336964,0,0.0364374365779408,0.158426352353446,143.452991452991,1.23050176732749,0.551670384373574,0.0364374365779408
2009,44,0.77638792782243,0.77638792782243,0.545962633736094,18.7609445476254,Inf,-16.8317067364913,0.346007046388726,0.74069030534751,55.7210401891253,Inf,4.84779925956397,0.42696931127139,0.31462310847122,0.196379578560317,0.145456450007856,0.0679487179487179,0.0713740458015267,0,0.703208556149733,0,0.0406810167499265,0.172522406699971,2.66080612366942,1.14069030534751,0.532863574084948,0.0406810167499265
2010,44,0.617107942973523,0.617107942973523,0.591328116625576,3145.91666666667,Inf,-10.5685890257559,0.40374753346203,Inf,74.0942100098135,Inf,6.55740837241619,0.493284946094143,0.387579136976504,0.294376307912373,Inf,0.11885370822928,0.0615712047400309,0,0.958224769845406,0,0.036834218471099,0.205579673417219,4.15844820235896,Inf,0.485329112367181,0.036834218471099
2011,44,0.952678744117078,0.952678744117078,0.928631293920444,78789,Inf,-107.341961852861,0.447845437648142,0.719304331948692,69.478835978836,Inf,5.33186709074914,0.532828186675805,0.435378035004886,0.336049448527079,0.241721824074497,0.150498212347026,0.0839941112607927,0,0.974758069973608,0,0.0969816549688225,0.233620507877218,4.38320981344237,0.606144154836354,0.377390879275162,0.0969816549688225
2012,44,0.995416725426597,0.995416725426597,0.93802002538429,6772.53846153846,Inf,-1354.50769230769,0.51062213277811,0.740205474845305,85.5617103984451,Inf,6.23666501381313,0.534148086730348,0.451972331701555,0.316867894097203,0.234547350013452,0.161799759892822,0.0818742279162293,0,0.942339023871927,0,0.0806110809850595,0.26518820471587,3.34535519125683,0.449614944847996,0.310161637368565,0.0806110809850595
2013,44,0.94500303979797,0.94500303979797,0.904784174344105,Inf,Inf,-79.3494897959184,0.535711210237156,0.764714077327783,31.4086166273982,Inf,4.61795417429604,0.577249102502277,0.437293039704228,0.326239082676954,0.249479619097569,0.174769933807531,0.116006177198331,0,0.957440490918988,0,0.138719015394053,0.409926576308878,3.93766283894625,0.427474472653369,0.299462078546866,0.138719015394053
2014,44,0.0558200669142248,0.0558200669142248,0.050397073421817,Inf,Inf,-1.72909669694226,0.753384798099762,1.40595093918454,212.461722488038,Inf,29.2471595587025,0.308893242801968,0.2357193527683,0.174498080149534,0.245335739672136,0.131464200882253,0.0257592466915507,0,0.902848674460728,0,0.177817174920266,0.994233598654811,3.85028508368586,0.866179066435531,0.464145741431965,0.177817174920266
