year,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2001,NA,1.60131747124177,0.266050535837184,Inf,NA,3.61175604970569,0.293100245472036,1.39899933500111,20.4248728617661,0.458616644693816,1.35626573340701,0.532243826252292,-0.23522488059938,-0.213608275424976,-0.298837835270275,-0.0626086379619187,0.216108273071054,NA,0.166144778043839,0.639096397532011,0,0.170724542807026,-Inf,3.77310871148548,0.790492934385988,0
2002,NA,1.23493103711042,0.174845690771927,30.4574616457462,NA,7.08336036328252,0.206905046141019,1.36151376289785,13.4553296364757,0.288977107317719,1.34752560779958,0.51540892023079,-0.205215679091492,-0.295333821778551,-0.402101063000717,-0.0611060580220946,0.153544426126997,NA,0.141583364186104,0.715991131828776,0,0.146614231289173,-Inf,5.58041086068768,0.848037822371288,0
2003,NA,2.18065052670486,0.261966364812419,45.0875613747954,NA,2.15610080613603,0.193631938709167,1.4610713338637,13.9556737588652,0.26146399335627,1.16735878638925,0.48224041236365,0.0610741056681852,0.0272610123963192,0.0398302837443649,0.00527860268147393,0.165871830466183,NA,0.120132208991906,0.740568275668172,0,0.0876861061032674,Inf,6.54561124370194,0.867472631745418,0
2004,NA,2.34580550727289,0.238724727838258,339.235632183908,NA,2.00621983549725,0.1742247592961,1.37361537745509,16.8744997141224,0.229976818031286,1.15098276265502,0.485557456757077,0.0821149643383536,0.0886035204228573,0.121707158149493,0.0154369270184594,0.15137043311944,NA,0.101766632867951,0.757575310361927,0,0.0739015502356115,Inf,6.88415712557014,0.873163359878158,0
2005,NA,2.95544890851949,0.750955576318695,479.881118881119,NA,1.49041113741503,0.167914592906885,1.39460634881925,21.7850793650794,0.226010862011613,0.986118495739269,0.528059105547703,0.102604083179109,0.112557014412078,0.156972726903223,0.0188999652538184,0.170278312020711,NA,0.254091882337726,0.742949216742766,0,0.0655014423892754,Inf,7.30547087753526,0.879599586960884,0
2006,NA,2.05587142267255,0.347012673506337,Inf,NA,2.38529571024607,0.172413268246013,1.55264446141495,19.9526925012582,0.242060499861099,1.22505986867516,0.568695454774757,0.162109670584674,0.123820814205721,0.192249701384402,0.0213483512540906,0.140738646865045,NA,0.168791039011201,0.712273453723132,0,0.0770083116044479,4.56949875577675,8.00536529009771,0.888955087574338,0
2007,NA,1.9371929230099,0.540963767940557,Inf,NA,2.82854707917979,0.229043024379227,1.92886955602909,21.3794651571345,0.336184828449879,1.36842039505741,0.618915883754691,0.0832214887653273,0.141252841765044,0.272458306183189,0.0323529780800261,0.167377675169492,NA,0.279251364959582,0.681300894615993,0,0.0980446595951686,-2.83602986932172,7.42141133790043,0.881253215222274,0
2008,NA,1.62026172387733,0.353546000556859,Inf,NA,3.8108246761575,0.233340990165878,2.23208819276203,23.6474333465977,0.338611616020604,1.45884374616423,0.591643388415845,0.0458637633359136,0.0618668596237337,0.138092286889402,0.0144360742830554,0.159949268576163,NA,0.218203019516386,0.689111002475709,0,0.110242642561,-10.169776119403,8.56579713411084,0.895462639565406,0
2009,NA,1.6155566386651,0.380099773502681,Inf,NA,3.26166744294364,0.246941790881618,2.08562536297708,7.04011259676284,0.371998640091794,1.24275497346892,0.514244302279088,0.115439538470326,0.0855943336950934,0.178517713281611,0.0211368180519851,0.198705131867086,NA,0.235274805231681,0.663824445220237,0,0.139513488757202,3.16585079302918,7.44581775944485,0.881598202982569,0
2010,NA,1.5466924078218,0.400991619498925,426.190751445087,NA,3.9450493592659,0.249150978782073,1.80487625761915,7.0704833141542,Inf,1.39441334442847,0.498358899241839,0,0.130989678696885,0.236420161073168,0.032636206657678,0.17867799370795,NA,0.259257508132234,0,0,0.134023447683752,0,6.24411887101907,0.861958442734575,0
2011,NA,1.23598984833214,0.310281599494845,636.871323529412,NA,8.9137079345477,0.286385255942904,2.24491673686257,9.3880880121396,Inf,1.70191089060274,0.477610561741972,0,0.11577160867984,0.259897621978876,0.0331552817826978,0.168272767701416,NA,0.251038954659331,0,0,0.156052035663189,0,6.83878701483833,0.872427799848235,0
2012,NA,1.33473301069584,0.342866729025174,1022.36771300448,NA,6.92488533851715,0.341442520817109,2.46625488138637,8.90334674112547,Inf,1.73666770770649,0.492837342316262,0,0.108795199747355,0.26831669244832,0.0371473072545378,0.196607859581861,NA,0.256880384524562,0,0,0.170971549357961,0,6.22304555239445,0.861554244294016,0
2013,NA,0.980859780690297,0.0931970665256424,1514.49171270718,NA,-91.2526631158455,0.336079200637528,2.57254802593917,7.2383354017586,Inf,1.78067856284469,0.476592624478792,0,0.142870171419399,0.367540377450566,0.0480156930055784,0.188736590449335,NA,0.0950156876246403,0,0,0.221334860166438,0,6.65458862392898,0.869359406608227,0
2014,NA,0.901077962699548,0.115176371600946,2597.44117647059,NA,-13.4736440613319,0.351147223542089,2.60141981854601,7.99592566604043,Inf,1.47916204322102,0.571393792533376,0,0.156409588622287,0.406887003652645,0.0549227927800762,0.237396048087762,NA,0.127820650785742,0,0,0.304569513745084,0,6.40834511605986,0.865017087577063,0
