year,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,1.32543985313923,2.6546670326748,0.15329021299958,Inf,3.81298402085807,6.08336379118615,2.30370631409385,3.42466517042818,5.87009342287923,Inf,3.79179060467746,0.496488034517993,0.290046931312568,0.153194473916775,0.524639779124846,0.352915076846359,0.607551037035655,0.500713333602617,0.057743668457406,0,0.430860076713841,0.699199572945626,2.53081104393929,0.486589305883486,0.327319256204594,0.430860076713841
1993,1.29724466699544,3.06378530573364,0.101248055840067,11.5902292081427,3.21604352079406,4.54201225004136,1.84852764300694,2.73536263471345,4.86956312295269,Inf,3.05952839533348,0.393916120706324,0.188602056737908,0.0960466026053213,0.262722287957767,0.177544799932839,0.604187117801028,0.576587607307946,0.0330467202289236,0,0.316937102774267,0.608254347530695,2.45219943406375,0.479752085429423,0.324211123034301,0.316937102774267
1994,1.52164477317768,2.55131090198287,0.637149261974638,Inf,3.49399455618613,4.18153907585082,1.29400965899713,2.31604136524166,2.68386509966978,Inf,2.54256239425512,0.445395505003474,0.252235795499127,0.160655074308377,0.372083797634173,0.207889217921942,0.508939195325522,0.4035831650329,0.249734072581843,0,0.153306904597092,0.452047900697401,3.55683776377864,0.789817679596462,0.441283874106405,0.153306904597092
1995,2.41506361064148,3.06136331465597,1.6831380507581,Inf,4.15724765539831,3.13830284643802,1.12020656522927,1.53327420097813,2.41129386517433,Inf,2.11317040579835,0.584672717425216,0.404525259995196,0.258198259904968,0.395888730649735,0.289235385876319,0.530107066687818,0.211114996028206,0.5498001634436,0,0.426093996945416,0.642757835293733,3.56738228317947,0.368742380709332,0.269402325745358,0.426093996945416
1996,3.26051538813058,4.58965363578822,2.04995217375261,Inf,3.0624863862919,2.54444704498156,0.926463123885629,1.16963611343531,1.78611681422609,Inf,1.99005944912008,0.554345434611828,0.2915814157576,0.191551023756725,0.224044994951371,0.177464959853146,0.465545451064426,0.289594455950571,0.446646378229489,0,0.211734435995685,0.487885162110476,3.76273735287631,0.262474547858749,0.207904823351825,0.211734435995685
1997,5.79146628224368,7.08219700102802,4.01935506741188,14.4884371153517,4.25440056026897,1.726533460973,0.767462059183248,1.08483102520126,1.75006892368769,Inf,1.48274845178413,0.477076040369124,0.263075574519607,0.218807492750639,0.237369156682393,0.167926448951129,0.517594240789657,0.182250044526718,0.567529407446369,0,0.120479829380878,0.249815322512204,9.92644171062827,0.413530496029687,0.292551520601224,0.120479829380878
1998,4.21868097849059,5.3594178826359,2.60563900150619,Inf,4.53152969788062,1.92704275572556,0.609060164062815,0.881378470794097,1.16705606993545,Inf,1.56748080367681,0.384666980841256,0.0604395137144295,0.029873397089515,0.0263297690441815,0.0181946961324536,0.388559887071124,0.212847165331371,0.486179480414891,0,0.11162961907476,0.2346529093256,2.56716934561435,0.447112326169465,0.308968639188487,0.11162961907476
1999,1.41354735734196,2.41613237771755,0.143729831636331,Inf,3.48644200431072,3.92069068782925,0.620776884676412,0.932773740616826,1.00650711690795,Inf,2.29797716269822,0.370439512862915,-0.020848486784339,-0.0184511312705776,-0.0172107307338687,-0.0114540357889047,0.270140580486671,0.414954507303405,0.059487564904084,0,0.138017334645256,0.33426830360566,11.2157265595816,0.502590968900277,0.33448288942407,0.138017334645256
2000,3.13794026199093,4.12625152002796,1.44881237575819,Inf,3.60517469714189,2.0157708096777,0.58804332427262,0.982799649099896,1.16883650968098,Inf,1.52724731567992,0.434601061186949,0.228978757773449,0.164788155471283,0.161953741372996,0.0969025747440867,0.385034773500863,0.239517938555122,0.351120713006941,0,0.00360993730821151,0.232316551241149,4.96265526394871,0.671304831690027,0.401665105587711,0.114749148264557
2001,3.99928478476411,5.24807382467157,2.72529279930596,10.4819930410762,4.19697881323516,1.92808014772115,0.518912804506998,0.867128942704159,0.989364678318945,Inf,1.56069199501318,0.360104999784061,0.142832238981375,0.097270440644134,0.0843460143521156,0.0504748771502791,0.332488925531149,0.237951881323928,0.519293914368003,0,0.120831371258275,0.157765499306688,4.05556699277665,0.671049423280256,0.401573654214841,0.120831371258275
