year,id,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
2004,69,2.00957458791725,2.39105620846318,0,5.83253237013683,15.8497047244094,5.14313863096523,0.528494836896979,0.685285687055159,0.643250432956698,2165.26136363636,2.99214836450433,0.154873178232735,0.0125588449851215,0.00249287562387493,0.00170833198465019,0.00131747189624423,0.176627216473114,0.159545233272091,0,0.000244079003935774,0.293696205600679,0.322863377379076,1.45118253486962,0.296674327186935,0.228796329939341,0.293696205600679
2005,69,2.31899452398232,2.75212772976183,0,5.95645555076835,13.3599390708302,3.90431901193659,0.583081214220643,0.780937317592122,0.763738145658779,2411.32558139535,2.48566428537182,0.154108036687338,0.019833730361569,0.00559375813747143,0.00436837447513604,0.00326161528685344,0.234577620820352,0.157381214939828,0,0.000241809409197755,0.314403986371758,0.33642225354301,1.63734076433121,0.339328550716451,0.253357214355606,0.314403986371758
2006,69,2.24906027654719,2.85937709759699,0.860383944153578,6.99592326896944,9.89661809183393,3.99574022598462,0.615173418034586,0.834056726045152,0.807897521988249,1994.34234234234,2.598323904317,0.187029073234194,0.04371374880292,0.0162215637027266,0.013529704313229,0.00997907478887212,0.236757787207554,0.213443977558159,0.300899082138078,0.000308459287542413,0.274479282484619,0.315511928587312,1.86886828891464,0.355807487114567,0.262432159798584,0.958967353897307
2007,69,2.74614953332674,3.37554829985818,1.52082714950035,7.10772154430886,8.7502619995808,2.95976620527843,0.608386579418236,0.835128115733106,0.862355744143809,1211.30113636364,2.08294088910601,0.216704426588614,0.101417052474565,0.0601156720093438,0.0502042878911927,0.0365735680631933,0.292080578282446,0.186458231558378,0.450542256961407,0.000502258737447099,0.259494003510653,0.318702109544982,2.88626351621946,0.37268927478778,0.271502238761247,0.940791893965671
2008,69,2.95350264488412,3.43326416693456,1.78402548440833,6.353921134249,9.81365740740741,2.58364861456419,0.629914434807054,0.883888729095616,0.967178029962412,1327.85185185185,1.83111444039634,0.251083156681171,0.144148164677005,0.0863968537320094,0.0763652052430456,0.0544226252877064,0.344006044030056,0.139739180768838,0.519629541353127,0.000474386079989692,0.348708280254777,0.348708280254777,2.93386318478569,0.403192669597732,0.287340333944374,0.999989808917197
2009,69,2.33628614780436,2.78960639057479,1.50033470189218,7.83600229198709,9.23877731836976,3.23970425046445,0.695407113206992,0.948946909021851,1.05204469997571,2129.7868852459,2.07835608987434,0.277634951545987,0.134285736277777,0.0717304124941309,0.0680683532191678,0.0498818390816903,0.334594787002567,0.162503299498476,0.53783024980203,0.000326514881852463,0.44892316938796,0.44892316938796,2.52346857597454,0.364591893007271,0.267180169305995,1
2010,69,1.02894858168935,1.31985392249642,0.55917109509597,7.64288804915337,8.21132752220878,10.0502977658081,0.717365288916084,Inf,1.01809434883015,2365.67857142857,2.43559314243692,0.256921904014251,0.153787798728846,0.095683811651746,Inf,0.0686402451901469,0.294534122475944,0.220407225260836,0.423661350369996,0.000303238697589794,0.443069664971682,0.917094121705073,3.11093296686517,Inf,0.24333010239721,0.443069664971682
2011,69,0.961570205886011,1.2148405259647,0.484369170237543,7.76860487642875,9.46913084237311,14.7722871276708,0.758445621894446,1.00239615472517,1.06955663598122,3898.65277777778,2.6124300831092,0.244332978272409,0.140782250278764,0.0985490001888117,0.0987851388412753,0.0747440577352791,0.290321883367603,0.208480302282944,0.398710085715083,0.000194540438742728,0.521954902243785,0.981969779396254,3.33316464237517,0.321645383384756,0.243367386916615,0.521954902243785
2012,69,1.01676139853268,1.25976259338254,0.485901888309455,7.5805820205641,10.7274941408943,13.818545266959,0.761295196773376,0.969633258323932,1.09137114434617,5952.72222222222,2.84937906092383,0.273780747681577,0.137126804729862,0.0956611820922267,0.0927562636872048,0.0728263984444755,0.267179332933874,0.192894435924938,0.385709093810111,0.000127890260682981,0.483868478776055,0.987081555945019,3.30699977492685,0.273662650747781,0.214862742961891,0.483868478776055
2013,69,0.975768031052225,1.248447890234,0.451129855671344,7.36280127533388,8.90090852245559,13.3312744741835,0.754271239710195,0.979451709441002,1.12406903124787,4462.55405405405,2.65299580635313,0.267208512880456,0.137777118302754,0.0941982684743012,0.0922626550835367,0.0710510447406649,0.28430924689136,0.218415090701673,0.361352571621383,0.000169022320082593,0.522805623168248,0.99054195022602,3.16155930790077,0.298540442583129,0.229904616593424,0.522805623168248
2014,69,1.13621460506706,1.49720566318927,0.404967709885743,7.41118745729254,10.120170640245,9.7527413513176,0.85816424313822,1.11356985996635,1.17766054990529,5348.64383561644,3.2387789805483,0.246607128679399,0.152318728854581,0.105639376003647,0.117636825143313,0.0906559351537636,0.264965361419303,0.241109866865746,0.270482352453237,0.000160445202468658,0.604442570481246,0.771604346742818,3.26308570174476,0.297618572284174,0.22935751586869,0.604442570481246
