year,id,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,80,0.257073911182034,0.701747557700541,0,Inf,7.17514223194748,-10.3155422158424,1.16934911242604,3.83355965082444,1.63200924931869,Inf,4.38424847476428,-0.0370407853456128,-0.157499240967513,-0.169150389636676,-0.648448108632396,-0.197795857988166,0.266715976331361,0.633666112035496,0,0,0.222669220945083,0.546892294593444,-13.5179153094463,2.27837051406402,0.694970414201183,0.222669220945083
1993,80,0.227375617868527,0.507599205432623,0.00226359310758997,Inf,8.64523574019123,-4.0635144009757,0.954198977793444,5.97255929398787,1.32931283184483,Inf,3.94184564979978,-0.210768129660841,-0.333294853739062,0.346939717867615,2.07211803640375,0.331049524145224,0.2420690870638,0.552056789224609,0.00445941026574445,0,0.230131885995962,0.567581740475629,-24.4677966101695,5.25910093767237,0.840214134649277,0.230131885995962
1994,80,0.138630237686841,0.532957608429307,0.00177652536143102,Inf,7.59717259592978,-7.78659496327387,1.43702645784416,5.73519466718191,1.91530892079368,Inf,6.82356321839081,0.176231786406132,0.0540385749178809,0.0453634296302535,0.260168099700512,0.0651884485972259,0.210597661639757,0.739885057471264,0.00333333333333333,0,0.256653746770026,0.527260981912145,6.22912621359223,2.9910153608347,0.749437195904239,0.256653746770026
1995,80,0.533324311523107,1.32370255091684,0.0104878543879829,Inf,4.41725879633593,14.6776755852843,1.41888942774006,3.47064056939502,2.48032497350759,Inf,3.58932679036958,0.265174171864764,0.147654447577544,0.140761628072574,0.488533017002768,0.199725185903653,0.395307953443259,0.597096559832337,0.00792312017584215,0,0.143491933278644,0.505161334427126,21.4214876033058,1.44602609727165,0.591173617846751,0.143491933278644
1996,80,1.17937584803256,1.82822252374491,0.133152419719584,Inf,9.10651052558204,9.52140672782875,1.36797012302285,1.87932223850996,2.59381136566498,Inf,4.3133936965019,0.250716923994586,0.160281263621556,0.152595838399596,0.286776752608433,0.20874654782827,0.317144740145619,0.354905744396616,0.0728316263420909,0,0.429181084198385,0.637543252595156,20.855223880597,0.373803569888764,0.272093899071052,0.429181084198385
1997,80,0.111950738254214,0.184731546699084,0.029084222679707,Inf,5.14226959879134,-0.740957761676045,0.129156718406328,0.165876586450879,2.85987795355294,Inf,3.27003968253968,0.380448192868556,0.375594118479866,0.367766923528103,0.0610039218843832,0.0474995689812807,0.0394969880934344,0.393981481481481,0.157440476190476,0,0.167571362826428,0.96584378650744,96.9738903394256,0.284304746184634,0.221368601984253,0.167571362826428
1998,80,0.236033053316078,0.35723921582974,0.0147843623243414,Inf,7.88036219581211,-2.11668575737957,0.346267367779089,0.487888671878203,1.75013970999147,Inf,3.80843573988735,0.29795472497185,0.0443809555820715,0.0281162294338101,0.0137175898366844,0.00973573275791836,0.0909211527852459,0.339285714285714,0.0413850486431132,0,0.112335358152403,0.876794771556304,2.72809917355372,0.408994081675825,0.290273810937074,0.131741544876807
1999,80,0.161095144795305,0.254639323167697,0.0068822044575164,Inf,6.38449003067485,-1.11842797806845,0.293268002309141,0.483377854037085,1.91083146205982,Inf,3.27377651004939,0.283578718083175,0.150718674787893,0.122041601118686,0.0589922072520002,0.0357908965586859,0.0895809476941713,0.367359515446038,0.027027264964037,0,0.269252595252848,0.8944834459263,5.25572018004501,0.64824614424708,0.393294500648263,0.269252595252848
2000,80,0.572721978491284,0.95148762148801,0.0183458218477825,Inf,2.94065109540926,-40.5929146881502,0.352397057556616,0.589099803487059,2.05256640606031,Inf,2.06966312307542,0.434397561619961,0.171990436797563,0.147392397543219,0.0868288324281969,0.0519406472004454,0.170267834232352,0.398077320653297,0.0192811986551038,0,0.218169347727102,0.445363427300131,9.00405972614051,0.671694084015864,0.401804613385135,0.275292937792866
2001,80,0.397443183901555,0.606687395956322,0.016522319431509,7.77911094070683,4.19997196204362,-3.21556891810003,0.333678054726537,0.691852056893788,1.77160393954569,Inf,2.08463830481636,0.305130494784268,-0.0540708226303063,-0.0704689230483767,-0.0487540693581095,-0.0235139331614563,0.160065203616189,0.344896257033549,0.0272336619182023,0,0.239844041248903,0.509625958741753,16.7942368302566,1.07341091941919,0.517702685053957,0.239844041248903
2002,80,0.339615472619375,0.44054603811687,0.00864441398304284,11.401316392571,8.95522139722551,-2.33334458990436,0.300343298056898,0.666899740151662,1.4867655672839,Inf,2.96313838353997,0.307602008162583,-0.113986704445681,-0.089442673776497,-0.0596492959000158,-0.0268635076290604,0.101359862139846,0.229103332602708,0.0196220445427082,0,0.283601748978064,0.418595721049246,15.7205588822355,1.22045713145881,0.549642019527613,0.283601748978064
2003,80,0.261898203853235,0.3621970439065,0,9.65064370643706,8.7720055336458,-1.91070674797223,0.284805758376256,0.647030105777055,1.39738024449785,3.28334691053554,3.36461722310213,0.278038161400837,-0.0434940725433683,-0.0548017836750231,-0.0354584038880215,-0.0156078635599365,0.0846472984863547,0.276917886936584,0,0.0867425118748118,0.231256235529681,0.417460174741804,14.958503798948,1.27182943724848,0.559826110356617,0.390891847169221
2004,80,0.482422536871418,0.736735866570406,0,12.2540758551152,4.3849347740023,-7.36847063651966,0.356456208210109,0.794020414419757,1.68527822400857,4.02668454131644,2.63303868434561,0.425138519847233,0.189793394340719,0.114804692395428,0.0911572694331506,0.0409228453360022,0.135378264789414,0.345189288642681,0,0.0885234998055182,0.198096885104822,0.333447150117788,3.75291614518148,1.22753986641672,0.551074252328141,0.354553203614952
