year,id,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1995,28,1.36181409649953,1.46384398130113,0.424446268573655,Inf,27.1017249607963,8.44308135305983,0.699772655800385,0.993478539002149,0.94777627663649,Inf,2.67533461166513,0.293924031745806,0.173073438821114,0.127092466410408,0.126263637847591,0.0889358327522321,0.261564535796457,0.0696999721998475,0.289953214956957,0,0.263231080092605,0.694063486009082,3.76402302402843,0.365499168383576,0.25744524286302,0.306361395639652
1996,28,1.58504230767474,1.58504230767474,0.547351261010727,Inf,Inf,3.52083609769043,0.283992845500201,0.398223080705577,0.37888079289419,Inf,1.29954769381464,0.251550702083416,0.229663523141929,0.167036884319176,0.0665179426650435,0.0474372800812908,0.218532068389564,0,0.345322808331653,0,0.191343665407383,0.651429336347681,3.66731565719141,0.296774125201832,0.211644508745123,0.191343665407383
1997,28,1.53571077548079,1.53571077548079,0.505569570487829,7.40988940253965,Inf,9.68012108980827,0.73534978121434,1.05971790532907,0.982483636600634,Inf,3.37677201890153,0.253463699856903,0.23347042824787,0.159986448451996,0.169540504034586,0.117645999866435,0.21776707965424,0,0.329208844894346,0,0.576147902040498,0.679472303150209,3.39003302449317,0.300751181252605,0.208694515985726,0.576147902040498
1998,28,0.708176926400368,0.732885013550592,0.0856184175826642,Inf,99.8748722607017,-12.7806871054815,0.694752624030547,1.0559307605733,0.850649069213078,Inf,4.65818375307678,0.277158790396939,0.239968048965289,0.163017663465537,0.172135365370047,0.11325694945601,0.149146676227973,0.033713456672447,0.116823807281678,0,0.33182105735799,0.594965422961557,3.27760068244062,0.519865811297571,0.342047177739817,0.689886612685425
1999,28,0.681222465079745,0.696904562685701,0.0504081144769646,Inf,119.577242411869,-8.6533707983859,0.677257151801792,1.12231710068311,0.859648226827304,Inf,3.7634955298211,0.285028931370395,0.25146284495878,0.168421266795251,0.189022067843022,0.114064507452601,0.179954286230808,0.0225025038514902,0.0723314456181833,0,0.406774030797114,0.651156455399224,3.14765955279377,0.657151521074557,0.396555097658478,0.406774030797114
2000,28,0.826710233763681,0.839792646823983,0.177739015072414,7.25193512615875,179.538215962441,-20.3582426008281,0.696185498296456,1.18572673894132,0.883928684381714,Inf,3.88374460615812,0.279851547311197,0.23346648477923,0.151803193977527,0.17999710615585,0.105683182242238,0.179256251091427,0.0155781467124991,0.211646310246471,0,0.457795040957006,0.517008366686185,2.97505279324246,0.703176440535969,0.412861770395725,0.457795040957006
2001,28,0.691739465132808,0.702332805747881,0.0650383426701577,6.86542409839857,221.93397642015,-11.0966860944127,0.708593892717003,1.41253277399056,0.915292823631275,Inf,4.70306867084617,0.288241837263629,0.274426336348599,0.185786725954525,0.262429839383169,0.131647339359264,0.150666286696918,0.0150830781765803,0.0926033101940916,0,0.256594478086832,0.430463873941242,11.2718134071271,0.993430635669755,0.498352246571138,0.543214908872304
2002,28,0.86851557597041,0.914095151620355,0.0807072946014875,6.99912893229948,76.2413212245496,-57.1394264397295,0.721319308146143,1.54826013342768,0.899824676814809,Inf,5.36984990687653,0.29204257813722,0.253967897738478,0.167316138316379,0.259048906634321,0.120688361132055,0.134327648007896,0.049863053719461,0.0882920059891173,0,0.186830395069779,0.275133519165683,3.16907814899991,1.14642824050676,0.534109745143911,0.186830395069779
2003,28,1.20823248588136,1.25474566439302,0.374789137145867,6.61240861716892,77.0346186926605,19.5782262180519,0.68134022675043,1.37659994221345,0.879646713917298,Inf,3.97488382473676,0.281574379140539,0.226613619637561,0.156923887272389,0.216021414151081,0.106918556936729,0.171411356103106,0.0370698061221508,0.298697296019088,0,0.193270271245131,0.270485860626172,3.68264917064057,1.02042957125689,0.50505574941773,0.193270271245131
2004,28,0.976720161084314,1.02761874708861,0,7.23161755891731,80.8852313823898,205.140097932535,0.713965160238476,1.7645345164053,0.870349798453996,26.0779126465401,5.51343822656353,0.273358131269933,0.230122862504061,0.157026634575219,0.277078916702936,0.112111546316205,0.129495449282196,0.0495306125433196,0,0.0273781559864686,0.136575785765968,0.211654700283854,3.56286121975506,1.47145745293217,0.595380450991141,0.465263300177309
2005,28,0.961284265994223,1.01895700497823,0,6.44912591532332,65.7184696726668,267.096150370504,0.584522509473791,1.40247670673355,0.691925893325343,24.5713359381495,4.96914298395449,0.251449578879489,0.19270585576411,0.141437892929087,0.198363350282518,0.082673632109595,0.1176304468117,0.0565997767346774,0,0.0237887964636982,0.156963500125123,0.197938629537222,4.41814176453249,1.39935448849714,0.583221235213826,0.503260988245251
2006,28,0.55097977809592,0.588914150452268,0,6.99298542957034,63.5133483435188,-7.79689733810209,0.62958466948837,1.64502537255172,0.746643353430026,21.8162251197298,5.44254907715948,0.248302334508148,0.17074996748375,0.112662938136644,0.185333391781005,0.070930858670348,0.115678271442792,0.0644140955472298,0,0.0288585521112448,0.127689231426297,0.318212938336795,3.45523758168676,1.61287393463463,0.617279660245133,0.436534591317065
2007,28,0.675898231743889,0.721511044425134,0.151712138277509,7.09147911573517,51.8692878531441,-11.6080006254931,0.640446468347838,1.61725915670931,0.78017178781625,20.3298602034084,4.48045805463953,0.268133717220678,0.185823069735316,0.122885792698384,0.198738173470944,0.0787017719438048,0.142942185941157,0.0632184538735466,0.210270015198986,0.0315027482697822,0.184875357267612,0.328009001650476,3.47050078336745,1.52520583161518,0.603992677555169,0.474792911395035
