year,id,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,38,0.4293758407638,1.38676920512851,0.108939179295485,Inf,1.35035189376041,7.57748776508972,0.604672125913081,0.761859520884331,1.9817350495464,Inf,2.11335736973131,0.558876454698702,0.753478075431078,0.608359566992303,0.463484528234155,0.367858072692797,0.286119202825578,0.690376856382522,0.0785560992359859,0,0.347841097129796,1,6.84281392946732,0.259954756032271,0.206320706983873,0.347841097129796
1993,38,1.14904126719466,2.25091704877032,0.443059608170071,Inf,2.91628206098207,5.19412186141055,0.890489139749317,1.03191616132193,3.19542845428454,Inf,2.8865637644793,0.505433910940317,0.401483900354776,0.239473802390408,0.247116886899876,0.213248820283132,0.308494532740714,0.489523051139362,0.196835155881073,0,0.793330554397666,1,3.19647052814384,0.158819479384583,0.137052821608528,0.793330554397666
1994,38,3.9499364988324,5.07888483755992,1.97939284690073,Inf,2.64180864768748,2.11442676134851,0.860620418709042,0.956017356908817,3.84513730969798,Inf,1.69810963092026,0.654186983856296,0.512178438167261,0.418363493424475,0.399962761210806,0.360052164883549,0.506810869591879,0.222282720485922,0.389729814754317,0,0.886087099020853,1,10.436190291826,0.110848976273896,0.0997878246507692,0.886087099020853
1995,38,1.35707040677136,2.0339792242314,0.71289916407261,Inf,1.81065440359625,4.17203382663848,0.605832083829144,0.829828497994994,2.19089257879287,Inf,2.12086546811456,0.71587718889292,0.5851304264984,0.39115584897323,0.324592270635412,0.23697476308541,0.285653235878147,0.332800261377217,0.350494811146363,0,0.403956125944561,0.520283334319029,4.08152588864067,0.369733495707404,0.269930973336133,0.403956125944561
1996,38,1.6744734374855,2.76357830441765,0.880559191289092,Inf,1.49175800760275,2.87786404189804,0.610303761607471,0.77022479112049,2.13946508579366,Inf,1.83650978126512,0.679887188135001,0.515658864821464,0.333905196332517,0.257182060099259,0.203783597342016,0.332317185475076,0.394092277100016,0.318630085451712,0,0.31283600705346,0.579152509569481,3.66204262946655,0.262035136555288,0.207629034220481,0.31283600705346
1997,38,2.29393983614418,3.31977944088891,1.63331526610936,Inf,2.3560462115285,2.81212733930938,0.623763392634674,0.729582058790614,2.45438324038997,Inf,1.96504475765558,0.629505650687941,0.480539359881634,0.311907109177395,0.227561830865073,0.194556236607365,0.317429610803807,0.309008361251268,0.491995114492312,0,0.408923491334882,0.659249893489823,3.67562513749358,0.169645521692095,0.145040115612697,0.408923491334882
1998,38,2.59377611784371,4.23682354784789,1.27577831174258,Inf,1.62610278338553,2.27616868996179,0.524871916768926,0.609304294671997,1.74922642854928,Inf,1.73893397526191,0.637360903828224,0.368860536922744,0.291723534061945,0.177748402160836,0.153117490489698,0.301835448749496,0.387801713110939,0.301116696821282,0,0.279899295065458,0.514105404498154,8.46256760603473,0.160863902334714,0.138572705782096,0.279899295065458
1999,38,1.35049441100602,1.95479461424216,0.865825060580005,Inf,1.94705440081492,3.52930130222325,0.524140912990583,0.648408424104377,1.79956272975603,Inf,1.72384241845632,0.650833854054156,0.543813764137389,0.366485489649133,0.237632278800516,0.192090039142497,0.304053843540956,0.309137440237127,0.442923800931214,0,0.630291351445655,0.811596961190148,3.95561343935208,0.237087981559698,0.191650056498635,0.630291351445655
2000,38,2.13967399214088,3.16865812836559,1.23295735700771,Inf,1.98789983239394,2.89812997245124,0.617858029403075,0.700203001569533,2.27372932445631,Inf,1.98350622478108,0.674543703079338,0.525329631396377,0.336875877048763,0.235881500265913,0.208141465546781,0.311497902897314,0.324738136630557,0.38911025016248,0,0.598224985248764,0.835923670715906,3.64009274264718,0.133274908227725,0.117601569804583,0.598224985248764
2001,38,3.20416399028123,5.15943809869579,0.638352836037646,13.8142774555694,2.05394036779147,2.48683335907128,0.55190456819208,0.583011695446174,2.07811557570436,Inf,2.00483642229247,0.61174761698411,0.414533393271532,0.24471929618515,0.142674211777299,0.135061697489335,0.27528658301259,0.378970358983242,0.12372526306673,0,0.999986036249895,1,3.14867109634551,0.0563632356876387,0.0533559232122927,0.999986036249895
2002,38,5.74620763155012,6.46153348140918,4.62208786940109,19.3412586046966,2.2944178339692,0.722494107133901,0.389483463761847,0.432137710919204,2.28787331910753,Inf,0.610679456755222,0.58406303402353,1.39507581398754,0.952095959532217,0.411436568527675,0.370825632152267,0.637787073813363,0.11070527637397,0.715323673969894,0,0.999995019870716,1,4.16357232988681,0.109514911738174,0.0987052184513744,0.999995019870716
