year,id,QRA,LRA,CRA,RTR,ITR,NWR,ATR,ETR,FAT,LTA,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,LTE,STF,STD,ICR,DER,LER,TFD
1992,78,1.45942278586713,2.25702729502636,0.304540472835447,11.2816388853544,2.99500749203358,3.68109142693443,0.72096088653183,0.960289747077835,1.73081195254744,Inf,2.05014463464433,0.483746210343956,0.246744956148266,0.196084247663045,0.188297692594293,0.141369073030076,0.351663426252316,0.353387179196659,0.134929902490121,0,0.374020372340078,0.625167213713808,6.9907969578833,0.331959258649522,0.249226488293444,0.374020372340078
1993,78,1.41287633589061,2.11539505610845,0.505126395402741,9.25808583194685,2.56301421981262,2.93769984798448,0.53346446788518,0.774310606524146,1.27730738111247,Inf,1.54897586496224,0.450492292201709,0.210721455018194,0.190809271025179,0.147745642377936,0.101789966235006,0.344398179437214,0.332098119540003,0.238785844726322,0,0.330955774342473,0.523413454812535,14.4989037972463,0.451475502377423,0.311045898906275,0.330955774342473
1994,78,1.1494265258277,1.8270140331192,0.609952108311753,9.94832968908949,2.29676704757309,3.82232355451727,0.42288825764636,0.730951728427624,1.38292881942187,Inf,1.73020850491826,0.507685020527473,0.317076295440468,0.237270087011099,0.173432980204935,0.100338733687724,0.244414621962767,0.370871539576889,0.333851901110142,0,0.180328990197281,0.317419639403346,5.44872856536931,0.728474875362658,0.421455287401741,0.180328990197281
1995,78,0.699832601789975,1.1985131875519,0.149564369225091,8.30558479064402,2.32321176526561,13.0996905833765,0.467884925786495,0.758766677050763,1.62584551891457,Inf,2.1697394410498,0.554486510158691,0.285159045705492,0.199704798843525,0.151529346609593,0.0934388649861097,0.215641065896887,0.416082685565219,0.124791592431781,0,0.226482349389541,0.469332280845883,4.57969457197747,0.621695069092699,0.383361262509433,0.226482349389541
1996,78,0.747654366831098,1.37783660756301,0.0713501435709964,5.49402469361555,1.78438957239081,6.10921190863495,0.446827700395716,0.728836592507689,1.04638237635127,Inf,1.67529581502761,0.512845617526427,0.121346725236017,0.0434610464128584,0.0316760009743663,0.019419599425449,0.266715702616586,0.457370806721791,0.0517841833925389,0,0.11983581589985,0.500285864825174,3.1707281720508,0.631135652203796,0.386930204947137,0.11983581589985
1997,78,1.38384779172944,2.34925212463094,0.224816428192619,6.80381736327553,1.68836414818459,2.99672061262163,0.462408529952508,0.699050583685987,1.18918178573091,Inf,1.72111439683821,0.596878464629538,0.206507744782704,0.162550711246232,0.113631169575251,0.075164835430105,0.268668097136355,0.410941134320848,0.0956970202710519,0,0.157790447055552,0.337833838737684,8.81316141249861,0.511759706850094,0.33851921342473,0.157790447055552
1998,78,0.911635711983903,1.6186993531349,0.155326222795117,7.20193773693753,1.51566269078136,4.44066047143864,0.421141136690986,0.598181343692245,1.13903475400434,Inf,1.69730948236305,0.609937827784465,0.181171967361196,0.112780384676727,0.0674631220480526,0.0474964593992033,0.248122773758772,0.436809738498778,0.0959574256295962,0,0.21082658774824,0.517918458648223,3.7771299913518,0.420382127455678,0.295964106651149,0.21082658774824
1999,78,1.10431240073285,1.63482043720626,0.514405827682794,7.34227591772281,1.56030496456074,3.23863825515558,0.394428902466029,0.545277496807284,1.07921075963788,Inf,1.25760218449691,0.597387491746957,0.268602062964295,0.19758121587589,0.107736590808945,0.0779317421258308,0.313635668996404,0.324505385667918,0.314655858206581,0,0.287738380299156,0.693476417880833,5.57639082686278,0.38244812537349,0.27664555244716,0.287738380299156
2000,78,0.824411648144588,1.56136016839547,0.0928287164591387,8.94339149618933,1.56953326764174,5.27822330068357,0.375578263808319,0.604678993009648,1.12015951410103,Inf,1.89769431863088,0.60962830248068,0.211539770729531,0.122802984857064,0.0742563852219488,0.0461221318430955,0.197912941046947,0.471991366993951,0.0594537495820288,0,0.163638456744301,0.334556526364679,3.45505919288377,0.609994643668341,0.378879921164508,0.197687260082014
2001,78,0.849336668506268,1.51803406367887,0.305378563629891,12.9963684520915,1.65120616228885,5.79311267196414,0.362218320408616,0.544748610523248,1.12565641141448,Inf,1.97691854920192,0.632073068404905,0.218207712846837,0.128985031899361,0.0702644169054739,0.0467207416124384,0.183223694549703,0.440502233231875,0.201167135136496,0,0.21553546947975,0.360214595709635,3.79186841158731,0.503923407045566,0.335072520771198,0.21553546947975
