year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,2010,4682441,3138912,172178,524395,1770992,14558,1053139,531,3190706,2368838,854232,174331,0,1200061,0,0,0,0,108880,1491735,10623152,9369071,1254081,482492,507199,137548,318707
2,2011,4982024,3701339,172292,697390,2188900,0,986404,0,3359276,2706505,1003869,323918,0,1244428,0,0,0,0,0,1622748,13596762,12117833,1478929,548441,590601,0,412458
3,2012,6415180,3382244,248562,579891,2310895,8951,2664233,0,3582388,2729925,1344853,214714,0,1032128,0,0,0,0,224679,2832792,13748123,12721619,1026504,62462,119220,53646,65574
4,2013,7406020,3690321,306026,774227,2395890,7296,2905979,0,4521371,3743869,1647156,222086,0,1745455,0,0,0,0,231408,2884649,15418575,14052185,1366390,351062,139369,46293,93075
