year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2008,239335,34451,23535,5238,680,0,197995,6875,88961,24091,5410,7191,41950,22920,150373,84935,22565,62370,23636,16901,5855,10018
2009,253973,30780,25097,2000,644,0,222969,225,74289,16874,5653,6970,33242,24172,179684,79459,31267,48192,19074,18232,5361,11931
2010,303210,14486,4801,2359,485,0,288552,172,85417,23169,6927,13948,24562,37687,0,76114,31775,44339,14820,12316,3748,8568
2011,330039,29904,11904,2642,538,0,292996,81,117797,38814,14038,23947,38616,40367,212242,78381,30435,47946,18586,16643,5370,11273
2012,478266,24038,6800,5328,1255,0,445552,959,195677,67216,21124,46093,71973,56488,282589,88711,34764,53947,16368,15623,3496,12127
2013,533705,92057,66096,7013,2415,0,432996,925,259928,18264,12302,5962,70742,59023,273777,106534,43627,62907,18236,-1781,949,-2730
2014,528238,63597,45193,7862,466,0,456454,1013,267635,30006,20738,9268,186303,51326,260604,118838,45099,73740,26997,3551,-1183,4734
