year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2008,232222,38467,27221,0,0,0,1098,185698,128110,20296,4668,15464,107813,0,104112,65709,31369,34340,25155,16784,117,16667
2009,204360,14586,10257,3769,0,0,1269,183766,108896,18787,4430,14357,90108,0,95465,70710,40519,30191,24885,22247,8361,13886
2010,187003,11514,11033,24,0,0,1019,167275,90758,18658,3343,10761,72100,0,0,75502,36328,37244,33707,29263,7037,22226
2011,175929,14777,14404,1,0,0,1134,153150,66394,15511,6439,9072,50883,0,109535,78789,36807,41981,39087,34303,7826,26477
2012,172423,14117,13303,13,0,0,1029,149512,53479,14182,4311,9872,39297,0,118944,88043,41014,47028,43654,39793,11895,27898
2013,174189,20207,19347,0,0,0,2971,146763,52163,21383,7236,14146,30781,0,122026,93315,39449,53866,50395,40806,10363,30443
2014,235760,6073,5483,0,0,0,836,217980,109427,108796,19458,89337,631,0,126333,177618,122752,54865,51150,41868,10874,30994
