QRA,LRA,CRA,NWR,ATR,ETR,FAT,CAT,GPM,EBI,NPM,REQ,ROA,CAS,ICU,CEQ,STF,STD,DER,LER,TFD
4.894341116,5.402453502,2.666007123,2.028674157,1.092771026,1.245117511,3.951847312,1.653164372,0.426204085,0.210465683,0.066817316,0.08319541,0.073016027,0.66101777,0.094052154,0.493480809,0.394143253,1,0.139412998,0.122355106,0.394143253
0.968910104,1.285517127,0.395559935,8.430080347,0.642131705,3.22550606,1.297832553,1.872345588,0.334820449,-0.02056504,-0.034896917,-0.112560216,-0.022408417,0.34295576,0.246287674,0.307704912,0.296930942,0.333097024,4.023122261,0.800920633,0.326852396
2.438666899,2.438666899,0.251788519,0.574893875,0.008986378,0.009259169,0.126863475,0.339152833,1,1.924683544,2.156329114,0.019965815,0.019377589,0.026496545,0,0.103248426,0.303603604,0.368790219,0.030356009,0.02946167,0.933462033
2.014046185,5.305923118,0.168786772,1.385398495,0.512382151,0.687241299,0.971607674,1.124294355,0.164268534,0.035190376,0.023023636,0.015822793,0.0117969,0.455736657,0.620415498,0.03181101,0.151168542,0.337577818,0.341267056,0.254436322,0.534443912
0.862904123,0.992279979,0.287067882,-317.2312576,0.310619648,0.526842116,0.401131514,2.468085511,0.349705403,0.451883744,0.341620338,0.179979982,0.106113989,0.125854492,0.130382412,0.289301293,0.210871988,0.309039618,0.696100419,0.410412268,0.574662479
0.672944586,0.712840642,0.264969184,-10.7104636,0.717503096,1.782764329,0.86735973,4.314582637,0.278505214,0.167841426,0.121125593,0.215938386,0.086907988,0.16629722,0.055967707,0.371708863,0.270744351,0.390418464,1.484678238,0.597533401,0.409958776
0.704424845,1.177405814,0.107456528,9.26695189,0.273342756,0.423253955,0.790992318,1.396299493,0.171252676,-0.014411915,-0.041055492,-0.017376899,-0.011222221,0.195762268,0.401714484,0.091265498,0.356492274,0.469428831,0.548436701,0.354187356,0.356492274
1.309574494,1.552080886,0.127458854,4.870342138,0.649727296,1.146112749,1.70871945,1.732398631,0.535598716,0.306877927,0.233533629,0.26765587,0.151733173,0.375044914,0.156245975,0.08212127,0.24078415,0.557926805,0.763990457,0.433103509,0.375998873
1.006673739,1.065935557,0.092198757,45.7575304,0.62247934,1.052275152,0.843041753,2.830422757,0.272633232,0.107807862,0.067570551,0.071102812,0.042061272,0.219924511,0.055596061,0.08649562,0.307572953,0.505137744,0.690457956,0.408444323,0.508627297
4.462830939,4.514429716,3.81745376,1.77796679,0.289270886,0.367162047,0.366282682,1.384125951,0.549484541,0.458828919,0.312262872,0.114651075,0.090328558,0.208991737,0.011429744,0.845611517,0.083609047,0.218220642,0.269267195,0.212143823,0.793197685
