year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2009,Banking,16453,5751,23,588,NA,0,756,0,6018,115,43,0,679,679,10434,67,NA,NA,-3314,-1883,0,-1883
2010,Banking,37211,15827,5,5121,NA,0,0,982,16783,388,118,0,13872,13872,20428,1173,NA,NA,-7412,709,0,709
2011,Banking,44416,9215,64,4627,NA,0,851,205,27222,633,183,0,23311,23311,17193,2442,NA,NA,-10811,-2033,0,-2033
2012,Banking,71809,15098,81,6945,NA,1541,825,323,47441,2551,1310,0,37234,37234,24367,3675,NA,NA,-14463,-3749,0,-3749
2013,Banking,86718,5860,70,8701,NA,2618,731,207,63312,1291,2159,0,0,0,23406,6200,NA,NA,-368,0,0,-586
