year,Field,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2005,Manufacturing,169172,23821,0,2629,0,6,142389,2956,79893,9226,3460,0,60135,10523,89280,33794,0,33794,13519,8116,2513,5603
2006,Manufacturing,186588,19060,7209,3969,0,6,5691,2544,108603,10094,2387,0,0,38712,77985,40664,0,40664,21287,17350,4013,13337
2007,Manufacturing,210228,34839,24844,4674,0,6,20952,2252,125551,9678,6011,3667,98908,15470,84677,45739,0,45739,24987,21296,6593,14703
2008,Manufacturing,200533,27669,19639,4331,0,5,821,1757,116081,10911,7205,3706,89521,13164,84452,52329,18349,33980,29363,23145,7078,16067
2009,Manufacturing,214375,21064,12406,5148,0,6,1004,1603,116073,13101,9136,3965,86912,14700,98302,60447,22305,38142,33140,29593,9115,20478
2010,Manufacturing,224504,26627,6453,5304,0,5973,798,1169,119013,23663,12707,9893,78268,15170,0,60680,22573,38107,34294,29462,8924,20538
2011,Manufacturing,409813,91432,4894,6136,0,0,1107,155,206724,86217,65795,19045,69146,49371,203089,63955,18258,45697,41012,37104,10899,26205
2012,Manufacturing,700575,246170,33635,8241,0,0,1578,843,314708,20688,19245,0,221248,70164,385867,75979,22058,53921,48152,93110,27632,65477
2013,Manufacturing,1035554,249568,101703,9055,0,0,1941,175,529300,23192,20868,0,410479,89594,506254,77130,26362,50767,45262,74243,23111,51131
