year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2012,82015,2146,1971,0,0,0,159,63911,20824,20824,20825,0,0,0,61191,0,0,0,-8199,-8042,-2298,-5744
2013,83036,289,205,0,0,0,120,65531,26549,26549,26549,0,0,0,56487,0,0,0,-4172,-5725,-1923,-3802
